subset,product,year,count,min,max,mean,stdev,median,sum,q02.5,q10,q25,q75,q90,q97.5
az,agb_chopping,2000,4722469,0,219,8.414191246032715,21.97493553161621,0.6561591888831919,39735756,0.032807959444159596,0.13123183777663838,0.32807959444159596,0.984238783324788,34.194862201993345,81.53219901786206
az,agb_chopping,2001,4722130,0,907,9.032537460327148,23.617015838623047,0.6617755325373323,42652816,0.03308877662686662,0.13235510650746649,0.3308877662686662,0.9926632988059986,36.56124800895619,87.60570195764294
az,agb_chopping,2002,4722147,0,991,8.377972602844238,22.20757484436035,0.6529290243445142,39562020,0.03264645121722571,0.13058580486890284,0.3264645121722571,0.9793935365167711,33.65039851065122,81.59154891641285
az,agb_chopping,2003,4720663,0,981,8.661742210388184,22.755939483642578,0.6598151422298457,40889168,0.03299075711149228,0.13196302844596913,0.32990757111492286,0.9897227133447686,35.24987226619224,83.30819150071375
az,agb_chopping,2004,4722118,0,931,8.62353229522705,22.74225616455078,0.656053835150833,40721336,0.032802691757541656,0.13121076703016663,0.3280269175754165,0.9840807527262497,34.710035574366124,84.11955497642572
az,agb_chopping,2005,4721907,0,944,8.762813568115234,22.860742568969727,0.6618782633019404,41377192,0.03309391316509702,0.1323756526603881,0.3309391316509702,0.9928173949529108,35.82371036503463,84.31084818177456
az,agb_chopping,2006,4721736,0,981,8.417867660522461,22.092592239379883,0.6560536299305801,39746948,0.03280268149652901,0.13121072598611605,0.32802681496529007,0.9840804448958704,34.17828207840162,81.8828671549374
az,agb_chopping,2007,4574001.5,0,998,7.109456539154053,19.889616012573242,0.6408827692812303,32518664,0.03204413846406152,0.12817655385624607,0.32044138464061517,0.9613241539218454,27.642562757524246,73.9730784953211
az,agb_chopping,2008,4722256,0,979,8.689476013183594,22.70964241027832,0.6602024402756884,41033928,0.03301012201378442,0.13204048805513768,0.3301012201378442,0.9903036604135327,35.49840206143196,83.88042044088114
az,agb_chopping,2009,4599597,0,936,7.924042224884033,21.17816162109375,0.6529099482959948,36447400,0.032645497414799746,0.13058198965919898,0.3264549741479974,0.9793649224439921,32.18420316187681,78.1755528325013
az,agb_chopping,2010,4721656.5,0,994,8.600236892700195,22.388160705566406,0.6604402662495363,40607364,0.03302201331247682,0.13208805324990727,0.33022013312476817,0.9906603993743045,35.43324149006947,82.51843493703237
az,agb_chopping,2011,4722162.5,0,956,8.508411407470703,22.198017120361328,0.6589507242245115,40178100,0.03294753621122557,0.13179014484490228,0.32947536211225575,0.9884260863367673,34.88501212269104,82.03855054638154
az,agb_chopping,2012,4722366.5,0,964,8.490508079528809,22.115310668945313,0.6580054854499265,40095292,0.032900274272496324,0.1316010970899853,0.32900274272496327,0.9870082281748898,34.77209243004716,82.18854148753886
az,agb_chopping,2013,4720249.5,0,996,8.433977127075195,21.901348114013672,0.6582155578271385,39810476,0.03291077789135693,0.1316431115654277,0.32910777891356924,0.9873233367407078,34.73107013074916,81.21804023177492
az,agb_chopping,2014,4721840,0,980,8.345868110656738,21.80028533935547,0.6562593133770839,39407852,0.032812965668854194,0.13125186267541677,0.32812965668854194,0.9843889700656258,34.16894818295014,80.65533406799636
az,agb_chopping,2015,4621598,0,991,8.128942489624023,21.77184295654297,0.6541137313314968,37568704,0.03270568656657484,0.13082274626629936,0.3270568656657484,0.9811705969972451,32.587699170518675,81.14909043860676
az,agb_chopping,2016,4721997,0,707,8.745418548583984,22.88492202758789,0.6606138055714642,41295840,0.03303069027857321,0.13212276111429283,0.3303069027857321,0.9909207083571963,35.563403983906,84.40097600282955
az,agb_chopping,2017,4721955,0,816,8.785280227661133,22.889999389648438,0.6622781571434946,41483700,0.03311390785717473,0.13245563142869893,0.3311390785717473,0.9934172357152419,35.97755914889985,84.34632005906353
az,agb_chopping,2018,4722102.5,0,762,8.31611156463623,21.788570404052734,0.6567812602553326,39269532,0.03283906301276663,0.13135625205106652,0.3283906301276663,0.9851718903829988,33.9080074730128,80.31647080639743
az,agb_chopping,2019,4721541.5,0,834,8.886260032653809,23.167537689208984,0.6621681105698066,41956844,0.033108405528490335,0.13243362211396134,0.3310840552849033,0.99325216585471,36.291167781990325,85.68545657753361
az,agb_chopping,2020,4722149,0,829,8.774759292602539,22.843833923339844,0.6619653033134973,41435720,0.033098265165674864,0.13239306066269946,0.33098265165674867,0.9929479549702459,35.95179252027064,84.31254327139996
az,agb_chopping,2021,4720949.5,0,933,8.321767807006836,21.615285873413086,0.6581855869235231,39286644,0.03290927934617616,0.13163711738470463,0.32909279346176157,0.9872783803852847,34.472073985210024,79.79543967164011
az,agb_esa,2010,36601844,0,348,5.8265485763549805,21.88442039489746,0.628520594825457,213262416,0.03142602974127285,0.1257041189650914,0.3142602974127285,0.9427808922381854,14.437843119311898,64.36155380715861
az,agb_esa,2017,36601844,0,350,3.916654586791992,17.385988235473633,0.5895233719362447,143356784,0.029476168596812236,0.11790467438724894,0.29476168596812236,0.8842850579043671,5.584737804816852,48.517831233781635
az,agb_esa,2018,36601844,0,350,3.8418126106262207,17.226985931396484,0.5860791456830252,140617424,0.029303957284151264,0.11721582913660505,0.2930395728415126,0.8791187185245378,5.301399263189567,47.83164311940626
az,agb_esa,2019,36601844,0,350,3.9108686447143555,17.62982940673828,0.5854716040552668,143145008,0.029273580202763338,0.11709432081105335,0.2927358020276334,0.8782074060829,5.428297675935075,48.29093406101753
az,agb_esa,2020,36601844,0,350,4.121318817138672,18.610361099243164,0.5852282956106097,150847872,0.029261414780530487,0.11704565912212195,0.29261414780530487,0.8778424434159146,5.585381731351783,51.320343644065055
az,agb_liu,1993,462.52679443359375,7.243581295013428,107.3124008178711,20.105850219726563,19.023433685302734,12.30975300937971,9299.494140625,7.9902363537971155,8.545727614930698,9.817441262219585,22.371805567946943,40.00836252638236,88.24960112611176
az,agb_liu,1994,462.52679443359375,7.228254795074463,107.3124008178711,19.361467361450195,18.961458206176758,11.83522613929917,8955.197265625,7.731441215143047,8.219184566700196,9.386092516774633,20.20569042017087,39.44959632790328,88.24960112611176
az,agb_liu,1995,462.52679443359375,7.186666011810303,107.3124008178711,19.61114501953125,18.785608291625977,12.050491621478036,9070.6796875,7.797703624033771,8.3379256600305,9.659170122341115,21.267549109470206,39.02915123198268,88.24960112611176
