subset,product,count,min,max,mean,stdev,median,q02.5,q10,q25,q75,q90,q97.5
az,slope_chopping,4722877,-36.365970611572266,35.108455657958984,-0.0024677282199263573,0.14779289066791534,-4.515085934018082e-22,-0.1439784182786613,-7.460981274865787e-20,-4.6800448690436846e-20,1.2063764612998222e-19,0.024278069739395176,0.150869935961344
az,slope_esa,36601844,-37.6815299987793,36.39490509033203,-0.19800780713558197,1.7822333574295044,-3.0592098293562294e-18,-3.497911986769549,-0.5525963357146296,-1.0946592981349463e-17,6.5445332298915985e-18,1.2959287343181882e-17,1.4996735904818397
az,slope_liu,462.52679443359375,-0.5777348875999451,0.6986818313598633,-0.056767575442790985,0.09195524454116821,-0.02989532418942515,-0.30944702899159227,-0.1548271477664242,-0.07735945139224237,-0.012846537071294148,1.2750186096793386e-17,0.014199237925880506
az,slope_ltgnn,328040992,-11.367542266845703,8.627531051635742,0.0017248770454898477,0.4159615635871887,9.144731500559074e-21,-0.7830708651563771,-0.15040943703019638,-2.4284887143417065e-19,0.03565188088163189,0.22985965200679678,0.6657628058049592
az,slope_xu,2891.552001953125,-1.6262423992156982,1.0931650400161743,0.03368862718343735,0.13864119350910187,0.004953213281276162,-0.15979833483630698,-0.060040047540065575,-0.013448524088459913,0.06174940834670428,0.17630301284290875,0.36070970359576365
forest,slope_chopping,192073.625,-2.1189076900482178,4.642857074737549,-0.00478147529065609,0.10564488172531128,-2.334349147501159e-19,-0.25683149015527124,-0.029695513253192602,-2.668394411948774e-18,9.042767386495307e-18,0.044176973462659,0.1597655501761518
forest,slope_chopping,102394.4609375,-2.8638017177581787,1.7295312881469727,-0.017341692000627518,0.2779165506362915,5.878415273640469e-19,-0.7050330325831776,-0.20669116195580825,-0.04125493838354338,0.04743168454239675,0.1925456215934225,0.47833853179674496
forest,slope_chopping,10.536952018737793,-1.074446678161621,1.1336591243743896,0.019194165244698524,0.2769657075405121,0.021506761400580925,-0.702653313998792,-0.27744495501714095,-0.031977454840967305,0.16164372943500696,0.314654514232541,0.4279125685123123
forest,slope_chopping,136651.328125,-9.399999618530273,19.114286422729492,-0.15144377946853638,0.5434834361076355,6.196280301327059e-20,-1.8114213549285834,-0.7324520339823664,-0.19315868754017937,0.06314044173979928,0.2185195960407839,0.4944016573747948
forest,slope_chopping,110708.7421875,-24.08571434020996,35.108455657958984,-0.03893871232867241,0.4449300169944763,6.927613242420222e-18,-0.9758358005681386,-0.21659404570950716,-0.004574391026773826,0.028585244515032342,0.13419180573132797,0.39157659498871566
forest,slope_chopping,91397.4609375,-8.555082321166992,22.730239868164062,0.011907823383808136,0.1539798378944397,0.0015527360277210155,-0.3010306435885322,-0.019039545016866014,-1.7044492412785391e-18,0.04067791458848219,0.09960647274326559,0.21106161654083844
forest,slope_chopping,129561.0859375,-4.478825569152832,2.70727276802063,0.017081303521990776,0.2314816415309906,0.008941178654626148,-0.47678307703250483,-0.1231277095877026,-0.007392629780479452,0.08021781060281305,0.20880919214915275,0.4183478880917564
forest,slope_esa,1480481.125,-25.592357635498047,22.46815299987793,-0.25911256670951843,2.0326268672943115,-5.568233261933377e-18,-4.460938689744472,-1.8175349029311607,-0.45211647441793074,9.637083260721865e-18,0.5638273215682027,4.049045782091194
forest,slope_esa,809114.9375,-34.75796127319336,27.267515182495117,-1.0457377433776855,3.7787394523620605,-1.324268925167709e-17,-12.531972091493994,-4.730394021145957,-1.2673784270567183,7.769293680916927e-18,1.2327636915026383,5.173978655746602
forest,slope_esa,80.91502380371094,-20.550954818725586,17.267515182495117,-2.002056360244751,4.666442394256592,-0.22908729976657025,-14.689862353336952,-8.629329501242601,-3.0492629998800442,0.0019701048302677828,1.2775334622607677,5.37657395722291
forest,slope_esa,1054295.375,-29.777070999145508,24.267515182495117,-1.1484092473983765,3.6030690670013428,-1.3865128578611104e-17,-10.721583525616973,-5.467336562505333,-1.7621380076253144,6.377710849085621e-18,0.8533752528873024,5.495151668964825
forest,slope_esa,837853.4375,-18.15286636352539,18.050954818725586,-0.29753342270851135,1.6683353185653687,-6.46323797412979e-18,-4.38901809830974,-1.7333442808347619,-0.35094423094985544,7.924208742214229e-18,0.350810155728404,3.0597886172380457
forest,slope_esa,711017.25,-20.707006454467773,18.060508728027344,-0.5011002421379089,1.568920373916626,-1.3168374546489908e-17,-4.099715991447008,-2.056162156745368,-0.9746573567510899,4.251700646421081e-18,0.35156726943833944,2.4321802507390644
forest,slope_esa,1010900.25,-25.592357635498047,24.098726272583008,-1.21566903591156,3.389810085296631,-1.3135522246162909e-17,-11.294201945563605,-4.971014438517406,-1.6232606667105456,4.065494227545249e-18,0.351293897344812,4.012588084161244
forest,slope_liu,18.716205596923828,-0.5047224760055542,0.04472879320383072,-0.20849642157554626,0.14629080891609192,-0.19188730858252998,-0.5037370822295807,-0.45448849465711916,-0.2767848232229626,-0.11209707823587457,-0.020579012285399746,0.03471767811272991
forest,slope_liu,10.228811264038086,-0.1958925575017929,0.0077779777348041534,-0.013661826960742474,0.028200849890708923,-9.194769359968909e-16,-0.08661832369478305,-0.03450854258702295,-0.012495181753100042,2.0735809810740107e-4,0.0021833856537189908,0.006251588549591813
forest,slope_liu,0.0010229257168248296,-0.21877644956111908,0.14061583578586578,-0.01633099839091301,0.16516898572444916,0.010947511988438663,-0.21573382586086004,-0.20660595476008287,-0.18835021255852855,0.07578167388715222,0.11468217102638036,0.13413241959599442
